gloss,stem_gloss,pos,molly_pos
twenty,twenty,Noun,Quantifier
two,two,Noun,Quantifier
worm,worm,Noun,Quantifier
five,f,Noun,Quantifier
fourteen,fourteen,Noun,Quantifier
nine,nine,Noun,Quantifier
how,how,Noun,Question
what,what,Definite Article,Question
when,when,Adverb,Question
where,where,Adverb,Question
who's,who,Noun,Question
whose,whose,Definite Article,Question
why,why,Adverb,Question
am,am,Noun,Verb
are,are,Noun,Verb
ask,ask,Noun,Verb
ate,ate,Noun,Verb
be,be,Noun,Verb
called,call,Noun,Verb
carrying,carry,Noun,Verb
didn't,didn't,Noun,Verb
do,do,Noun,Verb
does,doe,Noun,Verb
doesn't,doesn't,Noun,Verb
fits,fit,Noun,Verb
give,g,Noun,Verb
getting,getting,NA,Verb
go,go,Noun,Verb
gone,gone,Noun,Verb
has,ha,Interjection,Verb
had,had,Noun,Verb
have,have,Verb (usu participle),Verb
have_to,have_to,NA,Verb
hit,hit,Adjective,Verb
hop,hop,Noun,Verb
is,i,Noun,Verb
isn't,isn't,Noun,Verb
jack,jack,Noun,Verb
laying,lay,Noun,Verb
let's,let,Noun,Verb
lick,lick,Noun,Verb
lie,lie,Noun,Verb
like,like,Adjective,Verb
listen,list,Noun,Verb
marks,mark,Noun,Verb
matter,matte,Noun,Verb
may,may,Noun,Verb
remember,member,Noun,Verb
mend,mend,Noun,Verb
nursing,nurse,Noun,Verb
putting,putt,Noun,Verb
said,said,Adjective,Verb
sat,sat,Noun,Verb
say,say,Noun,Verb
see,see,Noun,Verb
sharing,share,Noun,Verb
shopping,shoppe,NA,Verb
sitting,sitting,Noun,Verb
sleep,sleep,Noun,Verb
stroke,stroke,Noun,Verb
swimming,swimming,Noun,Verb
touch,touch,Interjection,Verb
wash,wash,Noun,Verb
wearing,wear,Noun,Verb
will,will,Noun,Verb
working,work,Noun,Verb
writing,writ,Noun,Verb
running,running,Adjective,Verb
bouncing,bounce,Verb (intransitive),Verb
dance,dance,Verb (intransitive),Verb
happened,happen,Verb (intransitive),Verb
jump,jump,Verb (intransitive),Verb
marching,march,Verb (intransitive),Verb
peeping,peep,Verb (intransitive),Verb
stay,stay,Verb (intransitive),Verb
talks,talk,Verb (intransitive),Verb
walk,walk,Verb (intransitive),Verb
bash,bash,Verb (transitive),Verb
kicked,kick,Verb (transitive),Verb
kiss,kiss,Verb (transitive),Verb
knock,knock,Verb (transitive),Verb
mixed,mix,Verb (transitive),Verb
reach,reach,Verb (transitive),Verb
squish,squish,Verb (transitive),Verb
retired,tire,Verb (transitive),Verb
tower,tow,Verb (transitive),Verb
trying,try,Verb (transitive),Verb
want,want,Verb (transitive),Verb
wiping,wipe,Verb (transitive),Verb
awake,awake,Verb (usu participle),Verb
been,been,Verb (usu participle),Verb
bite,bite,Verb (usu participle),Verb
bought,bought,Verb (usu participle),Verb
break,break,Verb (usu participle),Verb
broke,broke,Verb (usu participle),Verb
building,build,Verb (usu participle),Verb
bumble,bumble,Verb (usu participle),Verb
bumped,bump,Verb (usu participle),Verb
buy,buy,Verb (usu participle),Verb
came,came,Verb (usu participle),Verb
can't,can't,Verb (usu participle),Verb
catch,catch,Verb (usu participle),Verb
change,change,Verb (usu participle),Verb
clap,clap,Verb (usu participle),Verb
climb,climb,Verb (usu participle),Verb
clip,clip,Verb (usu participle),Verb
clothes,clothe,Verb (usu participle),Verb
come,come,Verb (usu participle),Verb
could,could,Verb (usu participle),Verb
count,count,Verb (usu participle),Verb
covers,cover,Verb (usu participle),Verb
crash,crash,Verb (usu participle),Verb
cry,cry,Verb (usu participle),Verb
cuddle,cuddle,Verb (usu participle),Verb
did,did,Verb (usu participle),Verb
dig,dig,Verb (usu participle),Verb
don't,don't,Verb (usu participle),Verb
done,done,Verb (usu participle),Verb
draw,draw,Verb (usu participle),Verb
drink,drink,Verb (usu participle),Verb
driver,drive,Verb (usu participle),Verb
dropped,dropped,Verb (usu participle),Verb
dump,dump,Verb (usu participle),Verb
eat,eat,Verb (usu participle),Verb
excuse,excuse,Verb (usu participle),Verb
feeder,feed,Verb (usu participle),Verb
feel,feel,Verb (usu participle),Verb
fell,fell,Verb (usu participle),Verb
find,find,Verb (usu participle),Verb
finished,finish,Verb (usu participle),Verb
fix,fix,Verb (usu participle),Verb
fly,fly,Verb (usu participle),Verb
fold,fold,Verb (usu participle),Verb
forgot,forgot,Verb (usu participle),Verb
found,found,Verb (usu participle),Verb
gave,gave,Verb (usu participle),Verb
get,get,Verb (usu participle),Verb
gobble,gobble,Verb (usu participle),Verb
gonna,gonna,Verb (usu participle),Verb
got,got,Verb (usu participle),Verb
gotta,gotta,Verb (usu participle),Verb
hear,hear,Verb (usu participle),Verb
help,help,Verb (usu participle),Verb
hide,hide,Verb (usu participle),Verb
hold,hold,Verb (usu participle),Verb
hurts,hurt,Verb (usu participle),Verb
keep,keep,Verb (usu participle),Verb
know,know,Verb (usu participle),Verb
lift,lift,Verb (usu participle),Verb
look,look,Verb (usu participle),Verb
made,made,Verb (usu participle),Verb
make,make,Verb (usu participle),Verb
mean,mean,Verb (usu participle),Verb
might,might,Verb (usu participle),Verb
move,move,Verb (usu participle),Verb
must,must,Verb (usu participle),Verb
need,need,Verb (usu participle),Verb
pick,pick,Verb (usu participle),Verb
pinch,pinch,Verb (usu participle),Verb
play,play,Verb (usu participle),Verb
pour,pour,Verb (usu participle),Verb
pretend,pretend,Verb (usu participle),Verb
pull,pull,Verb (usu participle),Verb
push,push,Verb (usu participle),Verb
put,put,Verb (usu participle),Verb
puzzle,puzzle,Verb (usu participle),Verb
ride,ride,Verb (usu participle),Verb
rolling,roll,Verb (usu participle),Verb
run,run,Verb (usu participle),Verb
shall,shall,Verb (usu participle),Verb
shoot,shoot,Verb (usu participle),Verb
show,show,Verb (usu participle),Verb
shut,shut,Verb (usu participle),Verb
sing,sing,Verb (usu participle),Verb
sit,sit,Verb (usu participle),Verb
snap,snap,Verb (usu participle),Verb
spell,spell,Verb (usu participle),Verb
sprinkle,sprinkle,Verb (usu participle),Verb
squeeze,squeeze,Verb (usu participle),Verb
stamp,stamp,Verb (usu participle),Verb
stand,stand,Verb (usu participle),Verb
stop,stop,Verb (usu participle),Verb
stuff,stuff,Verb (usu participle),Verb
sucking,suck,Verb (usu participle),Verb
sweep,sweep,Verb (usu participle),Verb
swim,swim,Verb (usu participle),Verb
swings,swing,Verb (usu participle),Verb
take,take,Verb (usu participle),Verb
think,think,Verb (usu participle),Verb
throw,throw,Verb (usu participle),Verb
tickle,tickle,Verb (usu participle),Verb
told,told,Verb (usu participle),Verb
took,took,Verb (usu participle),Verb
toot,toot,Verb (usu participle),Verb
turn,turn,Verb (usu participle),Verb
wanna,wanna,Verb (usu participle),Verb
was,was,Verb (usu participle),Verb
watch,watch,Verb (usu participle),Verb
went,went,Verb (usu participle),Verb
would,would,Verb (usu participle),Verb
wrap,wrap,Verb (usu participle),Verb
write,write,Verb (usu participle),Verb
brush,brush,Noun,Verb-Noun
can,can,Noun,Verb-Noun
cut,cut,Noun,Verb-Noun
cutting,cutting,Noun,Verb-Noun
flap,flap,Verb (usu participle),Verb-Noun
hug,hug,Verb (usu participle),Verb-Noun
iron,iron,Noun,Verb-Noun
leaves,leave,Verb (usu participle),Verb-Noun
paint,paint,Noun,Verb-Noun
past,past,Adjective,Verb-Noun
pee,pee,Verb (usu participle),Verb-Noun
scoop,scoop,Noun,Verb-Noun
screw,screw,Noun,Verb-Noun
set,set,Noun,Verb-Noun
sink,sink,Noun,Verb-Noun
slide,slide,Verb (usu participle),Verb-Noun
smell,smell,Verb (usu participle),Verb-Noun
smile,smile,Noun,Verb-Noun
splash,splash,Verb (usu participle),Verb-Noun
spot,spot,Noun,Verb-Noun
step,step,Noun,Verb-Noun
taste,taste,Noun,Verb-Noun
tears,tear,Noun,Verb-Noun
tick,tick,Noun,Verb-Noun
whisk,whisk,Verb (transitive),Verb-Noun
whistle,whistle,Verb (usu participle),Verb-Noun
zip,zip,Noun,Verb-Noun
