form,lemma
(,(
Newsweek,Newsweek
reported,report
that,that
Bush,Bush
commanded,command
his,he
cabinet,cabinet
",",","
	,PUNCT
Let,let
heads,head
roll,roll
!,!
	,PUNCT
),)
That,that
temper,temper
is,be
only,only
one,one
problem,problem
.,.
Bush,Bush
has,have
a,a
sadistic,sadistic
streak,streak
.,.
He,he
clearly,clearly
enjoyed,enjoy
",",","
as,as
governor,governor
",",","
watching,watch
executions,execution
.,.
His,he
delight,delight
in,in
killing,kill
people,people
became,become
a,a
campaign,campaign
issue,issue
in,in
2000,2000
when,when
he,he
seemed,seem
",",","
in,in
one,one
debate,debate
",",","
to,to
enjoy,enjoy
the,the
prospect,prospect
of,of
executing,execute
wrong,wrong
-,-
doers,doer
a,a
little,little
too,too
much,much
.,.
He,he
has,have
clearly,clearly
gone,go
on,on
enjoying,enjoy
killing,kill
people,people
on,on
a,a
large,large
scale,scale
in,in
Iraq,Iraq
.,.
Drug,drug
abuse,abuse
can,can
affect,affect
the,the
ability,ability
of,of
the,the
person,person
to,to
feel,feel
deep,deep
emotions,emotion
like,like
empathy,empathy
.,.
Two,two
decades,decade
of,of
pickling,pickle
his,he
nervous,nervous
system,system
in,in
various,various
highly,highly
toxic,toxic
substances,substance
have,have
left,leave
Bush,Bush
damaged,damage
goods,goods
.,.
Even,even
for,for
those,those
who,who
later,later
abstain,abstain
",",","
	,PUNCT
visual,visual
-,-
spatial,spatial
abilities,ability
",",","
abstraction,abstraction
",",","
problem,problem
solving,solving
",",","
and,and
short,short
-,-
term,term
memory,memory
",",","
are,be
the,the
slowest,slowest
to,to
recover,recover
.,.
	,PUNCT
That,that
he,he
managed,manage
to,to
get,get
on,on
the,the
wagon,wagon
(,(
though,though
with,with
that,that
pretzel,pretzel
incident,incident
",",","
you,you
wonder,wonder
how,how
firmly,firmly
),)
is,be
laudable,laudable
.,.
But,but
he,he
suffers,suffer
the,the
severe,severe
effects,effect
of,of
the,the
aftermath,aftermath
",",","
and,and
we,we
are,be
all,all
suffering,suffer
along,along
with,with
him,he
now,now
",",","
since,since
he,he
is,be
the,the
most,most
powerful,powerful
man,man
in,in
the,the
world,world
.,.
We,we
all,all
know,know
by,by
now,now
that,that
Bush,Bush
did,do
not,not
even,even
do,do
his,he
full,full
service,service
with,with
the,the
Texas,Texas
Air,Air
National,National
Guard,Guard
",",","
absenting,absent
himself,himself
to,to
work,work
on,on
the,the
Alabama,Alabama
senate,senate
campaign,campaign
of,of
Winton,Winton
	,PUNCT
Red,Red
	,PUNCT
Blount,Blount
.,.
Whether,whether
he,he
was,be
actually,actually
AWOL,awol
during,during
this,this
stint,stint
is,be
unclear,unclear
.,.
But,but
it,it
is,be
clear,clear
that,that
not,not
only,only
did,do
Bush,Bush
slack,slack
off,off
on,on
his,he
National,National
Guard,Guard
service,service
",",","
but,but
he,he
slacked,slack
off,off
from,from
his,he
campaign,campaign
work,work
.,.
This,this
little,little
-,-
noted,note
interview,interview
with,with
Blount,Blount
's,'s
nephew,nephew
Murph,Murph
Archibald,Archibald
",",","
which,which
appeared,appear
on,on
National,National
Public,Public
Radio,Radio
's,'s
	,PUNCT
All,all
Things,Things
Considered,consider
on,on
March,March
30,30
",",","
2004,2004
",",","
gives,give
a,a
devastating,devastating
insight,insight
into,into
what,what
it,it
was,be
like,like
to,to
have,have
to,to
suffer,suffer
through,through
Bush,Bush
in,in
that,that
period,period
.,.
	,PUNCT
All,all
Things,Things
Considered,consider
(,(
8:00,8:00
PM,pm
ET,ET
),)
-,-
NPR,NPR
March,March
30,30
",",","
2004,2004
Tuesday,Tuesday
This,this
campaign,campaign
season,season
",",","
there,there
have,have
been,be
questions,question
about,about
whether,whether
George,George
W.,W.
Bush,Bush
fulfilled,fulfil
his,he
obligations,obligation
to,to
the,the
National,National
Guard,Guard
as,as
a,a
young,young
lieutenant,lieutenant
in,in
the,the
early,early
1970s,1970
.,.
For,for
weeks,week
",",","
reporters,reporter
scoured,scour
Alabama,Alabama
in,in
search,search
of,of
pilots,pilot
or,or
anyone,anyone
who,who
might,might
have,have
remembered,remember
seeing,see
Mr.,Mr.
Bush,Bush
at,at
the,the
time,time
he,he
was,be
serving,serve
in,in
the,the
National,National
Guard,Guard
there,there
.,.
There,there
is,be
one,one
place,place
in,in
Alabama,Alabama
where,where
Mr.,Mr.
Bush,Bush
was,be
present,present
nearly,nearly
every,every
day,day
:,:
the,the
headquarters,headquarters
in,in
Montgomery,Montgomery
of,of
US,US
Senate,Senate
candidate,candidate
Winton,Winton
	,PUNCT
Red,Red
	,PUNCT
Blount,Blount
.,.
President,President
Bush,Bush
has,have
always,always
said,say
that,that
working,work
for,for
Blount,Blount
was,be
the,the
reason,reason
he,he
transferred,transfer
to,to
the,the
Alabama,Alabama
Air,Air
National,National
Guard,Guard
.,.
NPR,NPR
's,'s
Wade,Wade
Goodwyn,Goodwyn
has,have
this,this
report,report
about,about
Mr.,Mr.
Bush,Bush
's,'s
time,time
on,on
that,that
campaign,campaign
.,.
WADE,WADE
GOODWYN,GOODWYN
reporting,report
:,:
In,in
1972,1972
",",","
Baba,Baba
Groom,Groom
was,be
a,a
smart,smart
",",","
funny,funny
young,young
woman,woman
smack,smack
-,-
dab,dab
in,in
the,the
middle,middle
of,of
an,a
exciting,exciting
US,US
Senate,Senate
campaign,campaign
.,.
Groom,Groom
was,be
Republican,Republican
Red,Red
Blount,Blount
's,'s
scheduler,scheduler
",",","
and,and
in,in
that,that
job,job
",",","
she,she
was,be
the,the
hub,hub
in,in
the,the
campaign,campaign
wheel,wheel
.,.
Ask,ask
her,she
about,about
the,the
handsome,handsome
young,young
man,man
from,from
Texas,Texas
",",","
and,and
she,she
remembers,remember
him,he
32,32
years,year
later,later
like,like
it,it
was,be
yesterday,yesterday
.,.
Ms.,Ms.
BABA,BABA
GROOM,GROOM
(,(
Former,former
Campaign,campaign
Worker,worker
),)
:,:
He,he
would,would
wear,wear
khaki,khaki
trousers,trousers
and,and
some,some
old,old
jacket,jacket
.,.
He,he
was,be
always,always
ready,ready
to,to
go,go
out,out
on,on
the,the
road,road
.,.
On,on
the,the
phone,phone
",",","
you,you
could,could
hear,hear
his,he
accent,accent
.,.
It,it
was,be
a,a
Texas,Texas
accent,accent
.,.
But,but
he,he
just,just
melded,meld
with,with
everybody,everybody
.,.
GOODWYN,GOODWYN
:,:
The,the
candidate,candidate
Mr.,Mr.
Bush,Bush
was,be
working,work
for,for
",",","
Red,Red
Blount,Blount
",",","
had,have
gotten,get
rich,rich
in,in
Alabama,Alabama
in,in
the,the
construction,construction
business,business
.,.
Prominent,prominent
Southern,southern
Republicans,Republicans
were,be
something,something
of,of
a,a
rare,rare
breed,breed
in,in
those,those
days,day
.,.
Blount,Blount
's,'s
support,support
of,of
the,the
party,party
led,lead
him,he
to,to
be,be
appointed,appoint
Richard,Richard
Nixon,Nixon
's,'s
postmaster,postmaster
general,general
.,.
In,in
Washington,Washington
",",","
Blount,Blount
became,become
friends,friend
and,and
tennis,tennis
partners,partner
with,with
Mr.,Mr.
Bush,Bush
's,'s
father,father
",",","
then,then
Congressman,Congressman
Bush,Bush
.,.
That,that
was,be
how,how
26,26
-,-
year,year
-,-
old,old
Lieutenant,Lieutenant
Bush,Bush
came,come
to,to
Montgomery,Montgomery
",",","
at,at
his,he
father,father
's,'s
urging,urging
.,.
.,.
.,.
It,it
was,be
Mr.,Mr.
Bush,Bush
's,'s
job,job
to,to
organize,organize
the,the
Republican,republican
county,county
chairpersons,chairperson
in,in
the,the
67,67
Alabama,Alabama
counties,county
.,.
Back,back
in,in
1972,1972
in,in
the,the
Deep,deep
South,south
",",","
many,many
rural,rural
counties,county
did,do
n't,not
have,have
much,much
in,in
the,the
way,way
of,of
official,official
Republican,Republican
Party,Party
apparatus,apparatus
.,.
But,but
throughout,throughout
Alabama,Alabama
",",","
there,there
were,be
Republicans,Republicans
and,and
Democrats,Democrats
who,who
wanted,want
to,to
help,help
Red,Red
Blount,Blount
.,.
It,it
was,be
the,the
young,young
Texan,Texan
's,'s
job,job
to,to
find,find
out,out
what,what
each,each
county,county
leader,leader
needed,need
in,in
the,the
way,way
of,of
campaign,campaign
supplies,supplies
and,and
get,get
those,those
supplies,supplies
to,to
them,they
.,.
Groom,Groom
says,say
this,this
job,job
helped,help
Mr.,Mr.
Bush,Bush
understand,understand
how,how
even,even
in,in
a,a
statewide,statewide
Senate,Senate
campaign,campaign
",",","
politics,politics
are,be
local,local
.,.
.,.
.,.
.,.
Murph,Murph
Archibald,Archibald
is,be
Red,Red
Blount,Blount
's,'s
nephew,nephew
by,by
marriage,marriage
",",","
and,and
in,in
1972,1972
",",","
he,he
was,be
coming,come
off,off
a,a
15,15
-,-
month,month
tour,tour
in,in
Vietnam,Vietnam
in,in
the,the
infantry,infantry
.,.
Archibald,Archibald
says,say
that,that
in,in
a,a
campaign,campaign
full,full
of,of
dedicated,dedicated
workers,worker
",",","
Mr.,Mr.
Bush,Bush
was,be
not,not
one,one
of,of
them,they
.,.
Mr.,Mr.
MURPH,MURPH
ARCHIBALD,ARCHIBALD
(,(
Nephew,nephew
of,of
Red,Red
Blount,Blount
),)
:,:
Well,well
",",","
I,I
was,be
coming,come
in,in
early,early
in,in
the,the
morning,morning
and,and
leaving,leave
in,in
mid-evenings,mid-evening
.,.
Ordinarily,ordinarily
",",","
George,George
would,would
come,come
in,in
around,around
noon,noon
;,;
he,he
would,would
ordinarily,ordinarily
leave,leave
around,around
5:30,5:30
or,or
6:00,6:00
in,in
the,the
evening,evening
.,.
GOODWYN,GOODWYN
:,:
Archibald,Archibald
says,say
that,that
two,two
months,month
before,before
the,the
election,election
",",","
in,in
September,September
of,of
'72,'72
",",","
Red,Red
Blount,Blount
's,'s
campaign,campaign
manager,manager
came,come
to,to
him,he
and,and
asked,ask
that,that
he,he
quietly,quietly
take,take
over,over
Mr.,Mr.
Bush,Bush
's,'s
job,job
because,because
the,the
campaign,campaign
materials,material
were,be
not,not
getting,get
out,out
to,to
the,the
counties,county
.,.
Mr.,Mr.
ARCHIBALD,ARCHIBALD
:,:
George,George
certainly,certainly
did,do
n't,not
seem,seem
to,to
have,have
any,any
concerns,concern
about,about
my,my
taking,take
over,over
this,this
work,work
with,with
the,the
campaign,campaign
workers,worker
there,there
.,.
My,my
overall,overall
impression,impression
was,be
that,that
he,he
did,do
n't,not
seem,seem
as,as
interested,interested
in,in
the,the
campaign,campaign
as,as
the,the
other,other
people,people
who,who
were,be
working,work
at,at
the,the
state,state
headquarters,headquarters
.,.
GOODWYN,GOODWYN
:,:
Murph,Murph
Archibald,Archibald
says,say
that,that
at,at
first,first
",",","
he,he
did,do
n't,not
know,know
that,that
Mr.,Mr.
Bush,Bush
was,be
serving,serve
in,in
the,the
Air,Air
National,National
Guard,Guard
.,.
After,after
he,he
found,find
out,out
from,from
somebody,somebody
else,else
",",","
Archibald,Archibald
attempted,attempt
to,to
talk,talk
to,to
Mr.,Mr.
Bush,Bush
about,about
it,it
.,.
The,the
president,president
was,be
a,a
lieutenant,lieutenant
and,and
Archibald,Archibald
had,have
been,be
a,a
lieutenant,lieutenant
",",","
too,too
;,;
he,he
figured,figure
they,they
had,have
something,something
to,to
talk,talk
about,about
.,.
Mr.,Mr.
ARCHIBALD,ARCHIBALD
:,:
George,George
did,do
n't,not
have,have
any,any
interest,interest
at,at
all,all
in,in
talking,talk
about,about
the,the
military,military
.,.
In,in
fact,fact
",",","
when,when
I,I
broached,broach
the,the
subject,subject
with,with
him,he
",",","
he,he
simply,simply
changed,change
the,the
subject,subject
.,.
He,he
was,be
n't,not
unpleasant,unpleasant
about,about
it,it
",",","
but,but
he,he
just,just
changed,change
the,the
subject,subject
and,and
would,would
n't,not
talk,talk
about,about
it,it
.,.
GOODWYN,GOODWYN
:,:
Far,far
from,from
Texas,Texas
and,and
Washington,Washington
",",","
DC,DC
",",","
Mr.,Mr.
Bush,Bush
enjoyed,enjoy
his,he
freedom,freedom
.,.
He,he
dated,date
a,a
beautiful,beautiful
young,young
woman,woman
working,work
on,on
the,the
campaign,campaign
.,.
He,he
went,go
out,out
in,in
the,the
evenings,evening
and,and
had,have
a,a
good,good
time,time
.,.
In,in
fact,fact
",",","
he,he
left,leave
the,the
house,house
he,he
rented,rent
in,in
such,such
disrepair,disrepair
--,--
with,with
damage,damage
to,to
the,the
walls,wall
and,and
a,a
chandelier,chandelier
destroyed,destroy
--,--
that,that
the,the
Montgomery,Montgomery
family,family
who,who
owned,own
it,it
still,still
grumble,grumble
about,about
the,the
unpaid,unpaid
repair,repair
bill,bill
.,.
Archibald,Archibald
says,say
Mr.,Mr.
Bush,Bush
would,would
come,come
into,into
the,the
office,office
and,and
",",","
in,in
a,a
friendly,friendly
way,way
",",","
offer,offer
up,up
stories,story
about,about
the,the
drinking,drinking
he,he
'd,would
done,do
the,the
night,night
before,before
",",","
kind,kind
of,of
as,as
a,a
conversation,conversation
starter,starter
.,.
Mr.,Mr.
ARCHIBALD,ARCHIBALD
:,:
People,people
have,have
different,different
ways,way
of,of
starting,start
the,the
days,day
in,in
any,any
office,office
.,.
They,they
're,be
going,go
to,to
talk,talk
about,about
their,they
kids,kid
",",","
they,they
're,be
going,go
to,to
talk,talk
about,about
football,football
",",","
they,they
're,be
going,go
to,to
talk,talk
about,about
the,the
weather,weather
.,.
And,and
this,this
was,be
simply,simply
his,he
opening,open
gambit,gambit
;,;
he,he
would,would
start,start
talking,talk
about,about
that,that
he,he
had,have
been,be
out,out
late,late
the,the
night,night
before,before
drinking,drink
.,.
GOODWYN,GOODWYN
:,:
Archibald,Archibald
says,say
the,the
frequency,frequency
with,with
which,which
Mr.,Mr.
Bush,Bush
discussed,discuss
the,the
subject,subject
was,be
off,off
-,-
putting,putting
to,to
him,he
.,.
Mr.,Mr.
ARCHIBALD,ARCHIBALD
:,:
I,I
mean,mean
",",","
at,at
that,that
time,time
",",","
I,I
was,be
28,28
;,;
George,George
would,would
have,have
been,be
25,25
or,or
26,26
.,.
And,and
I,I
thought,think
it,it
was,be
really,really
unusual,unusual
that,that
someone,someone
in,in
their,they
mid-20s,mid-20
would,would
initiate,initiate
conversations,conversation
",",","
particularly,particularly
in,in
the,the
context,context
of,of
something,something
as,as
serious,serious
as,as
a,a
US,US
senatorial,senatorial
campaign,campaign
",",","
by,by
talking,talk
about,about
their,they
drinking,drinking
the,the
night,night
before,before
.,.
I,I
thought,think
it,it
unusual,unusual
and,and
",",","
frankly,frankly
",",","
inappropriate,inappropriate
.,.
GOODWYN,GOODWYN
:,:
According,accord
to,to
Archibald,Archibald
",",","
Mr.,Mr.
Bush,Bush
would,would
also,also
sometimes,sometimes
tell,tell
stories,story
about,about
his,he
days,day
at,at
Yale,Yale
in,in
New,New
Haven,Haven
",",","
and,and
how,how
whenever,whenever
he,he
got,get
pulled,pull
over,over
for,for
erratic,erratic
driving,driving
",",","
he,he
was,be
let,let
go,go
after,after
the,the
officers,officer
discovered,discover
he,he
was,be
the,the
grandson,grandson
of,of
a,a
Connecticut,Connecticut
US,US
senator,senator
.,.
Archibald,Archibald
",",","
a,a
middle,middle
-,-
class,class
Alabama,Alabama
boy,boy
--,--
who,who
",",","
by,by
the,the
way,way
",",","
is,be
now,now
a,a
registered,register
Democrat,Democrat
--,--
did,do
n't,not
like,like
that,that
story,story
.,.
Mr.,Mr.
ARCHIBALD,ARCHIBALD
:,:
He,he
told,tell
us,we
whenever,whenever
he,he
was,be
stopped,stop
",",","
as,as
soon,soon
as,as
the,the
law,law
enforcement,enforcement
found,find
out,out
that,that
he,he
was,be
the,the
grandson,grandson
of,of
Prescott,Prescott
Bush,Bush
",",","
they,they
would,would
let,let
him,he
go,go
.,.
And,and
he,he
would,would
always,always
laugh,laugh
about,about
that,that
.,.
	,PUNCT
Goodwyn,Goodwyn
dutifully,dutifully
notes,note
that,that
Baba,Baba
Groom,Groom
did,do
n't,not
remember,remember
George,George
telling,tell
drunk,drunk
stories,story
.,.
But,but
that,that
means,mean
nothing,nothing
",",","
since,since
they,they
were,be
n't,not
the,the
sort,sort
of,of
things,thing
guys,guy
like,like
Bush,Bush
told,tell
the,the
	,PUNCT
girls,girl
	,PUNCT
.,.
He,he
was,be
trying,try
to,to
buddy,buddy
with,with
Archibald,Archibald
and,and
impress,impress
him,he
.,.
Again,again
",",","
decades,decade
of,of
this,this
sort,sort
of,of
behavior,behavior
do,do
not,not
leave,leave
a,a
person,person
untouched,untouched
.,.
Our,we
world,world
is,be
in,in
crisis,crisis
and,and
our,we
Republic,republic
is,be
in,in
danger,danger
.,.
It,it
should,should
not,not
be,be
left,leave
in,in
the,the
hands,hand
of,of
a,a
man,man
who,who
spent,spend
his,he
life,life
like,like
this,this
.,.
When,when
the,the
cities,city
are,be
on,on
fire,fire
with,with
the,the
burning,burn
flesh,flesh
of,of
men,man
Just,just
remember,remember
that,that
death,death
is,be
not,not
the,the
end,end
And,and
you,you
search,search
in,in
vain,vain
to,to
find,find
just,just
one,one
law,law
abiding,abide
citizen,citizen
Just,just
remember,remember
that,that
death,death
is,be
not,not
the,the
end,end
-,-
Bob,Bob
Dylan,Dylan
Afraid,afraid
I,I
do,do
n't,not
have,have
time,time
today,today
to,to
discuss,discuss
these,these
",",","
but,but
some,some
stories,story
need,need
attention,attention
:,:
From,from
Wednesday,Wednesday
's,'s
Mirror,Mirror
the,the
headline,headline
",",","
	,PUNCT
Have,have
"200,000","200,000"
AK47s,ak47
Fallen,fall
Into,into
the,the
Hands,hand
of,of
Iraq,Iraq
Terrorists,terrorist
?,?
	,PUNCT
(,(
also,also
see,see
this,this
thread,thread
on,on
the,the
RI,RI
discussion,discussion
board,board
),)
:,:
Some,some
"200,000","200,000"
guns,gun
the,the
US,US
sent,send
to,to
Iraqi,iraqi
security,security
forces,force
may,may
have,have
been,be
smuggled,smuggle
to,to
terrorists,terrorist
",",","
it,it
was,be
feared,fear
yesterday,yesterday
.,.
The,the
99,99
-,-
tonne,tonne
cache,cache
of,of
AK47s,ak47
was,be
to,to
have,have
been,be
secretly,secretly
flown,fly
out,out
from,from
a,a
US,US
base,base
in,in
Bosnia,Bosnia
.,.
But,but
the,the
four,four
planeloads,planeload
of,of
arms,arm
have,have
vanished,vanish
.,.
Orders,order
for,for
the,the
deal,deal
to,to
go,go
ahead,ahead
were,be
given,give
by,by
the,the
US,US
Department,Department
of,of
Defense,Defense
.,.
But,but
the,the
work,work
was,be
contracted,contract
out,out
via,via
a,a
complex,complex
web,web
of,of
private,private
arms,arm
traders,trader
.,.
And,and
the,the
Moldovan,moldovan
airline,airline
used,use
to,to
transport,transport
the,the
shipment,shipment
was,be
blasted,blast
by,by
the,the
UN,UN
in,in
2003,2003
for,for
smuggling,smuggle
arms,arm
to,to
Liberia,Liberia
",",","
human,human
rights,rights
group,group
Amnesty,Amnesty
has,have
discovered,discover
.,.
It,it
follows,follow
a,a
separate,separate
probe,probe
claiming,claim
that,that
thousands,thousand
of,of
guns,gun
meant,mean
for,for
Iraq,Iraq
's,'s
police,police
and,and
army,army
instead,instead
went,go
to,to
al,al
-,-
Qaeda,Qaeda
.,.
Amnesty,Amnesty
chief,chief
spokesman,spokesman
Mike,Mike
Blakemore,Blakemore
said,say
:,:
	,PUNCT
It,it
's,be
unbelievable,unbelievable
that,that
no,no
one,one
can,can
account,account
for,for
"200,000","200,000"
assault,assault
rifles,rifle
.,.
If,if
these,these
weapons,weapon
have,have
gone,go
missing,missing
it,it
's,be
a,a
terrifying,terrifying
prospect,prospect
.,.
	,PUNCT
American,american
defence,defence
chiefs,chief
hired,hire
a,a
US,US
firm,firm
to,to
take,take
the,the
guns,gun
",",","
from,from
the,the
90s,90
Bosnian,bosnian
war,war
",",","
to,to
Iraq,Iraq
.,.
But,but
air,air
traffic,traffic
controllers,controller
in,in
Baghdad,Baghdad
have,have
no,no
record,record
of,of
the,the
flights,flight
",",","
which,which
supposedly,supposedly
took,take
off,off
between,between
July,July
2004,2004
and,and
July,July
2005,2005
.,.
A,a
coalition,coalition
forces,force
spokesman,spokesman
confirmed,confirm
they,they
had,have
not,not
received,receive
	,PUNCT
any,any
weapons,weapon
from,from
Bosnia,Bosnia
	,PUNCT
and,and
added,add
they,they
were,be
	,PUNCT
not,not
aware,aware
of,of
any,any
purchases,purchase
for,for
Iraq,Iraq
from,from
Bosnia,Bosnia
	,PUNCT
.,.
Nato,Nato
and,and
US,US
officials,official
have,have
already,already
voiced,voice
fears,fear
that,that
Bosnian,bosnian
arms,arm
-,-
sold,sell
by,by
US,US
",",","
British,british
and,and
Swiss,swiss
firms,firm
-,-
are,be
being,be
passed,pass
to,to
insurgents,insurgent
.,.
A,a
NATO,NATO
spokesman,spokesman
said,say
:,:
	,PUNCT
There,there
's,be
no,no
tracking,tracking
mechanism,mechanism
to,to
ensure,ensure
they,they
do,do
n't,not
fall,fall
into,into
the,the
wrong,wrong
hands,hand
.,.
There,there
are,be
concerns,concern
that,that
some,some
may,may
have,have
been,be
siphoned,siphon
off,off
.,.
	,PUNCT
This,this
year,year
a,a
newspaper,newspaper
claimed,claim
two,two
UK,UK
firms,firm
were,be
involved,involved
in,in
a,a
deal,deal
in,in
which,which
thousands,thousand
of,of
guns,gun
for,for
Iraqi,iraqi
forces,force
were,be
re-routed,re-route
to,to
al,al
-,-
Qaeda,Qaeda
.,.
The,the
Moldovan,moldovan
airline,airline
is,be
Aerocom,Aerocom
",",","
and,and
yes,yes
",",","
it,it
's,be
one,one
of,of
Victor,Victor
Bout,Bout
's,'s
.,.
It,it
's,be
always,always
a,a
bang,bang
-,-
your,you
-,-
head,head
-,-
against,against
-,-
the,the
-,-
wall,wall
moment,moment
",",","
reading,read
again,again
the,the
play,play
the,the
incompetence,incompetence
theory,theory
receives,receive
",",","
even,even
from,from
some,some
of,of
the,the
Administration,administration
's,'s
harshest,harshest
mainstream,mainstream
critics,critic
.,.
But,but
then,then
",",","
even,even
to,to
talk,talk
of,of
an,a
	,PUNCT
administration,administration
	,PUNCT
may,may
be,be
misdirection,misdirection
at,at
this,this
point,point
",",","
given,give
how,how
little,little
representative,representative
government,government
means,mean
in,in
the,the
United,United
States,States
these,these
days,day
",",","
and,and
how,how
much,much
of,of
	,PUNCT
national,national
security,security
	,PUNCT
has,have
been,be
privatized,privatize
into,into
a,a
global,global
gangland,gangland
of,of
drugs,drug
and,and
guns,gun
.,.
Like,like
the,the
tens,ten
of,of
billions,billion
of,of
dollars,dollar
that,that
have,have
been,be
	,PUNCT
lost,lose
	,PUNCT
in,in
Iraq,Iraq
",",","
planeloads,planeload
of,of
arms,arm
do,do
n't,not
just,just
	,PUNCT
vanish,vanish
	,PUNCT
;,;
not,not
when,when
the,the
Pentagon,Pentagon
contracts,contract
the,the
work,work
to,to
an,a
international,international
criminal,criminal
of,of
Bout,Bout
's,'s
untouchable,untouchable
stature,stature
.,.
But,but
Bout,Bout
's,'s
name,name
is,be
n't,not
likely,likely
to,to
be,be
mentioned,mention
in,in
whatever,whatever
coverage,coverage
this,this
story,story
receives,receive
",",","
before,before
it,it
sinks,sink
like,like
so,so
many,many
others,other
beneath,beneath
the,the
media,media
's,'s
frothing,froth
triviality,triviality
.,.
Meanwhile,meanwhile
",",","
a,a
decision,decision
's,be
been,be
reached,reach
in,in
the,the
trial,trial
of,of
Toledo,Toledo
priest,priest
Gerald,Gerald
Robinson,Robinson
.,.
And,and
it,it
's,be
guilty,guilty
:,:
The,the
Rev.,Rev.
Gerald,Gerald
Robinson,Robinson
appeared,appear
stony,stony
-,-
faced,faced
as,as
the,the
jury,jury
's,'s
guilty,guilty
verdict,verdict
was,be
read,read
",",","
and,and
he,he
blinked,blink
repeatedly,repeatedly
and,and
glanced,glance
at,at
his,he
lawyers,lawyer
before,before
being,be
led,lead
away,away
in,in
handcuffs,handcuffs
.,.
...,...
The,the
crime,crime
occurred,occur
in,in
the,the
sacristy,sacristy
adjoining,adjoin
the,the
hospital,hospital
chapel,chapel
in,in
downtown,downtown
Toledo,toledo
on,on
the,the
Saturday,Saturday
before,before
Easter,Easter
in,in
1980,1980
.,.
Investigators,investigator
said,say
the,the
nun,nun
",",","
Margaret,Margaret
Ann,Ann
Pahl,Pahl
",",","
71,71
",",","
was,be
strangled,strangle
and,and
then,then
stabbed,stab
",",","
with,with
nine,nine
wounds,wound
on,on
her,she
chest,chest
forming,form
the,the
shape,shape
of,of
an,a
inverted,invert
cross,cross
",",","
a,a
well,well
-,-
recognized,recognize
Satanic,satanic
symbol,symbol
.,.
An,a
altar,altar
cloth,cloth
was,be
draped,drape
over,over
her,she
half,half
-,-
naked,naked
body,body
",",","
which,which
was,be
posed,pose
as,as
if,if
she,she
had,have
been,be
sexually,sexually
assaulted,assault
.,.
	,PUNCT
It,it
was,be
about,about
how,how
he,he
could,could
humiliate,humiliate
her,she
the,the
most,most
",",","
	,PUNCT
prosecutor,prosecutor
Dean,Dean
Mandros,Mandros
said,say
in,in
closing,close
arguments,argument
.,.
	,PUNCT
He,he
left,leave
a,a
message,message
for,for
everyone,everyone
to,to
see,see
...,...
maybe,maybe
to,to
God,God
himself,himself
.,.
	,PUNCT
After,after
the,the
sentencing,sentencing
one,one
of,of
Robinson,Robinson
's,'s
tearful,tearful
supporters,supporter
	,PUNCT
turned,turn
to,to
Claudia,Claudia
Vercellotti,Vercellotti
",",","
a,a
local,local
leader,leader
of,of
the,the
Survivors,Survivors
Network,Network
for,for
Those,those
Abused,abuse
by,by
Priests,Priests
[,[
SNAP,SNAP
],]
",",","
who,who
had,have
helped,help
reopen,reopen
the,the
case,case
",",","
and,and
told,tell
her,she
",",","
','
I,I
hope,hope
you,you
rot,rot
in,in
hell,hell
!,!
','
	,PUNCT
From,from
SNAP,SNAP
's,'s
statement,statement
on,on
the,the
Robinson,Robinson
conviction,conviction
:,:
More,more
than,than
ever,ever
",",","
police,police
and,and
prosecutors,prosecutor
have,have
the,the
tools,tool
and,and
the,the
will,will
to,to
go,go
after,after
horrific,horrific
crimes,crime
",",","
even,even
when,when
the,the
defendants,defendant
are,be
seemingly,seemingly
powerful,powerful
individuals,individual
or,or
institutions,institution
.,.
When,when
victims,victim
and,and
witnesses,witness
stay,stay
silent,silent
",",","
nothing,nothing
changes,change
.,.
When,when
victims,victim
and,and
witnesses,witness
speak,speak
up,up
",",","
at,at
least,least
sometimes,sometimes
a,a
child,child
is,be
protected,protect
",",","
the,the
truth,truth
is,be
exposed,expose
",",","
and,and
justice,justice
is,be
done,do
.,.
The,the
murder,murder
weapon,weapon
",",","
Robinson,Robinson
's,'s
letter,letter
opener,opener
:,:
Finally,finally
",",","
from,from
an,a
email,email
",",","
a,a
follow,follow
-,-
up,up
on,on
the,the
reopening,reopening
of,of
the,the
investigation,investigation
into,into
the,the
Atlanta,Atlanta
Child,child
Murders,murder
:,:
Dekalb,Dekalb
County,County
Police,Police
Chief,Chief
Louis,Louis
Graham,Graham
...,...
the,the
man,man
who,who
reopened,reopen
the,the
investigations,investigation
last,last
year,year
",",","
is,be
mysteriously,mysteriously
stepping,step
down,down
.,.
And,and
of,of
all,all
the,the
people,people
who,who
the,the
county,county
is,be
getting,get
to,to
find,find
a,a
replacement,replacement
...,...
is,be
none,none
other,other
than,than
Lee,Lee
Brown,Brown
",",","
the,the
original,original
supervisor,supervisor
of,of
the,the
Atlanta,Atlanta
PD,PD
",",","
who,who
was,be
in,in
office,office
during,during
the,the
murders,murder
and,and
the,the
subsequent,subsequent
investigation,investigation
.,.
SNAP,SNAP
is,be
right,right
in,in
part,part
.,.
Police,police
and,and
prosecutors,prosecutor
have,have
the,the
tools,tool
.,.
The,the
will,will
is,be
another,another
matter,matter
.,.
Some,some
do,do
",",","
individually,individually
.,.
But,but
institutionally,institutionally
?,?
That,that
's,be
still,still
the,the
domain,domain
of,of
those,those
who,who
